mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,total
1,4/18/2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,1,0,0.1,1,0,0,0,222
622,4/11/2022,Dr DY Patil Sports Academy,Gujarat Titans,Sunrisers Hyderabad,,,162,7,19.6,44,3,,,162
